mpd_arrest_number,mpd_arrest_date,person_type,top_charge,mpd_charge_category,mpd_charge_description,charge_code,age,arrest_count,race,ethnicity,sex,home_psa,arrest_district,arrest_psa,home_city,home_state,pdid,ccn,latitude,longitude,dmpsj_category,year,month,is_marijuana
64551365258571902930039588528689097494,2016-01-01 01:00:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Felon In Possession,22DC4503A2,33,5.0,Black,Unknown,Male,505,6D,608,WASHINGTON,DC,334625535977470936276860019452397395281,114304768070504194473359753364436807311,38.894,-76.923,Weapons,2016,1,False
68092236399555456025451712537326114312,2016-01-01 01:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,32,5.0,Black,Not Hispanic Or Latino,Male,602,6D,608,WASHINGTON,DC,75880052022486052865026243985292297491,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,False
68092236399555456025451712537326114312,2016-01-01 01:00:00,DEFENDANT IN ARREST,,Narcotics,Poss W/i To Dist Marijuana-fel,48DC904.01A1A2B-V,32,5.0,Black,Not Hispanic Or Latino,Male,602,6D,608,WASHINGTON,DC,75880052022486052865026243985292297491,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,True
82612791926564795381351312606615407664,2016-01-01 01:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,41,8.0,Black,Unknown,Male,704,6D,608,WASHINGTON,DC,6259927930156597324409950957773751713,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,False
82612791926564795381351312606615407664,2016-01-01 01:00:00,DEFENDANT IN ARREST,,Narcotics,Poss W/i To Dist Marijuana-fel,48DC904.01A1A2B-V,41,8.0,Black,Unknown,Male,704,6D,608,WASHINGTON,DC,6259927930156597324409950957773751713,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,True
301352625139170994662033597092159464487,2016-01-01 01:10:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,27,14.0,Black,Unknown,Male,704,7D,704,WASHINGTON,DC,23595373087958630430394416763734360330,71817949660193434317010606194045283625,38.846,-76.972,Weapons,2016,1,False
66469012341172213942396619538503520396,2016-01-01 03:02:00,DEFENDANT IN ARREST,Yes,Motor Vehicle Theft,Theft First Degree (Stolen Auto),22DC3211,22,0.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,5D,505,CLINTON,MD,114374307792129851187634019955659074645,171144974980921121539571373058488756881,38.92,-76.97800000000001,Theft,2016,1,False
66469012341172213942396619538503520396,2016-01-01 03:02:00,DEFENDANT IN ARREST,,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,22,0.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,5D,505,CLINTON,MD,114374307792129851187634019955659074645,171144974980921121539571373058488756881,38.92,-76.97800000000001,Vehicle,2016,1,False
147213074930868466259944557696523986670,2016-01-01 04:30:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Unlawful Poss Ammunition,7DC2506.01,29,6.0,Black,Not Hispanic Or Latino,Male,702,4D,403,WASHINGTON,DC,60136299027990461477517351302420164210,38323542405284540145183310316632891984,38.954,-77.02199999999999,Weapons,2016,1,False
315488757274888787859061244538105554235,2016-01-01 05:48:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,25,0.0,Unknown,Not Hispanic Or Latino,Female,OUT OF STATE,4D,409,HYATTSVILLE,MD,203476191573353171569619598099161620892,55742404852382152405573229565043194195,38.933,-77.032,Assault on a police officer,2016,1,False
7067138761925367486175262972267688137,2016-01-01 05:48:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,26,0.0,Unknown,Hispanic Or Latino,Male,409,4D,409,WASHINGTON,DC,116330252325032660865407759952068835293,55742404852382152405573229565043194195,38.933,-77.032,Assault on a police officer,2016,1,False
