rID,Generic_Case_ID,Generic_Offender_ID,Charge_Number,Sentence_Year,Race,Gender,Age_Group,Offense,Offense_Type,Homicide_Type,Offense_Severity_Group,Sentence_Type,Sentence_Imposed_Months,Sentence_Suspended_Months,Sentence_to_Serve_Months,Sentence_Probation_Months,VVCA_AMT,Fine_AMT,Restitution_AMT,Fine_Suspended_AMT
1,5576409,6566267,8,2016,Other or Unknown,,18-21,Conspiracy,Other,,M9,Indeterminate,,,,,120,0,0,0
2,5576409,6566267,11,2016,Other or Unknown,,18-21,Murder I,Homicide,Murder I,M1,Indeterminate/Incarceration,,,,,0,0,0,0
3,5576409,6566267,12,2016,Other or Unknown,,18-21,Murder 1 Premeditated,Homicide,Murder I,M1,Indeterminate/Incarceration,,,,,0,0,0,0
4,5576409,6566267,13,2016,Other or Unknown,,18-21,Poss Firearm During Crime of Violence or Dangerous Offense,Weapon,,M5,Indeterminate,,,,,0,0,0,0
5,1712295,503887,9,2016,Other or Unknown,,15-17,Conspiracy,Other,,M9,Indeterminate,,,,,150,0,0,0
6,1712295,503887,12,2016,Other or Unknown,,15-17,Murder I,Homicide,Murder I,M1,Indeterminate/Incarceration,,,,,0,0,0,0
7,1712295,503887,15,2016,Other or Unknown,,15-17,Poss Firearm During Crime of Violence or Dangerous Offense,Weapon,,M5,Indeterminate,,,,,0,0,0,0
8,1712295,503887,16,2016,Other or Unknown,,15-17,Carrying a Pistol Without a License,Weapon,,M8,Incarceration,12,0,12,0,0,0,0,0
9,9085776,6612777,4,2016,Other or Unknown,M,31-40,ARMED ASSAULT W/INTENT,Violent,,M5,Indeterminate,,,,,0,0,0,0
10,9085776,6612777,5,2016,Other or Unknown,M,31-40,ARMED ASSAULT W/INTENT,Violent,,M5,Indeterminate,,,,,0,0,0,0
11,1986962,4014412,2,2016,Black,M,15-17,CONSPIRACY,Other,,M9,Incarceration,20,0,20,0,100,0,0,0
12,1986962,4014412,3,2016,Black,M,15-17,ARMED BURGLARY I,Property,,M3,Incarceration,180,0,180,0,100,0,0,0
13,1986962,4014412,5,2016,Black,M,15-17,ARMED ROBBERY,Violent,,M5,Incarceration,180,0,180,0,100,0,0,0
14,1986962,4014412,12,2016,Black,M,15-17,1ST DEG MURDER W/ARMED,Homicide,Murder I,M1,Incarceration,240,0,240,0,100,0,0,0
15,1986962,4014412,13,2016,Black,M,15-17,1ST DEG MURDER W/ARMED,Homicide,Murder I,M1,Incarceration,240,0,240,0,100,0,0,0
16,1986962,4014412,14,2016,Black,M,,1ST DEG MURDER W/ARMED,Homicide,Murder I,M1,Incarceration,240,0,240,0,100,0,0,0
17,1986962,4014412,15,2016,Black,M,15-17,CDW FELONY,Weapon,,M8,Incarceration,12,0,12,0,100,0,0,0
18,1986962,4014412,16,2016,Black,M,15-17,POS. F/A DURING VIO/DAG OFF,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
19,3083056,8939629,14,2016,Black,M,22-30,CONSPIRACY,Other,,M9,Indeterminate,,,,,100,0,0,0
20,3083056,8939629,16,2016,Black,M,22-30,ARMED ROBBERY,Violent,,M5,Life,,,,,100,0,0,0
21,3083056,8939629,17,2016,Black,M,22-30,ARMED ROBBERY,Violent,,M5,Life,,,,,100,0,0,0
22,3083056,8939629,20,2016,Black,M,22-30,FELONY MURDER W/ARMED,Homicide,Murder I,M1,Life,,,,,100,0,0,0
23,1307803,7599997,2,2016,Black,M,31-40,Murder II,Homicide,Murder II,M2,Life,,,,,100,0,0,0
24,5375711,8695832,1,2016,Black,F,18-21,Burglary One,Property,,M5,Probation,36,36,0,36,100,0,0,0
25,5375711,8695832,2,2016,Black,F,18-21,Burglary One,Property,,M8,Probation,24,24,0,36,100,0,0,0
26,3595715,9831993,1,2016,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,22,16,6,12,100,0,0,0
27,3780165,4568879,5,2016,Black,M,22-30,Conspiracy,Other,,M9,Incarceration,60,0,60,0,100,0,0,0
28,3780165,4568879,6,2016,Black,M,22-30,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
29,6989391,5424356,1,2016,Black,M,22-30,Assault W/I to Kill,Violent,,M3,Incarceration,102,0,102,0,100,0,0,0
30,8689262,3167849,1,2016,Black,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M7,Incarceration,12,0,12,0,100,0,0,0
31,8689262,3167849,2,2016,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,60,0,60,0,100,0,0,0
32,8689262,3167849,4,2016,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,60,0,60,0,100,0,0,0
33,8689262,3167849,10,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
34,7237667,7362346,1,2016,Other or Unknown,M,15-17,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
35,7237667,7362346,2,2016,Other or Unknown,M,15-17,Aggravated Assault Knowingly,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0
36,833863,6781710,1,2016,Other or Unknown,M,18-21,Conspiracy,Other,,M9,Incarceration,60,0,60,0,100,0,0,0
37,833863,6781710,2,2016,Other or Unknown,M,18-21,Robbery,Violent,,M5,Incarceration,120,0,120,0,100,0,0,0
38,833863,6781710,3,2016,Other or Unknown,M,18-21,Murder II,Homicide,Murder II,M2,Incarceration,180,0,180,0,100,0,0,0
39,833863,6781710,4,2016,Other or Unknown,M,18-21,Burglary Two,Property,,M6,Incarceration,120,0,120,0,100,0,0,0
40,833863,6781710,8,2016,Other or Unknown,M,18-21,Obstruction Justice (Due Administration),Other,,M5,Incarceration,36,0,36,0,100,0,0,0
41,5561352,8500542,1,2016,Black,M,31-40,First Degree Child Sex Abuse,Sex,,M6,Incarceration,216,0,216,0,100,0,0,0
42,7998342,2953548,1,2016,White,F,15-17,Robbery,Violent,,M5,Incarceration,72,0,72,0,0,0,0,0
43,7998342,2953548,2,2016,White,F,15-17,Murder II,Homicide,Murder II,M2,Incarceration,72,0,72,0,750,0,0,0
44,5969570,7231459,2,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,3,0,3,0,100,0,0,0
45,740807,906078,2,2016,White,M,41-50,Unauthorized Use of A Vehicle,Property,,M8,Short Split,18,12,6,12,100,0,0,0
46,7135851,1138853,1,2016,Black,M,31-40,Involuntary Manslaughter,Homicide,Involuntary Manslaughter,M5,Short Split,60,60,1,48,100,0,0,0
47,2614427,9552366,1,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Incarceration,9,0,9,0,100,0,0,0
48,8489702,6557455,1,2016,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,18,18,1,24,100,0,0,0
49,3269203,7773783,1,2016,Black,M,18-21,Murder II,Homicide,Murder II,M2,Incarceration,120,0,120,0,100,0,0,0
50,5941172,5533645,1,2016,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M4,Incarceration,132,0,132,0,100,0,0,0
51,5941172,5533645,2,2016,Black,M,22-30,Assault On A Police Officer,Violent,,M7,Incarceration,42,0,42,0,100,0,0,0
52,5941172,5533645,3,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,66,0,66,0,100,0,0,0
53,5941172,5533645,4,2016,Black,M,22-30,Destruction of Property $1000 or More,Property,,M8,Incarceration,28,0,28,0,100,0,0,0
54,1372640,1758708,1,2016,Other or Unknown,M,22-30,Conspiracy to Commit a Crime of Violence,Other,,M7,Incarceration,60,0,60,0,100,0,0,0
55,1372640,1758708,6,2016,Other or Unknown,M,22-30,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
56,1372640,1758708,10,2016,Other or Unknown,M,22-30,"Obstructing Justice (Witness or Officer) (Influence, Delay)",Other,,M5,Incarceration,36,0,36,0,100,0,0,0
57,2842955,8423128,1,2016,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,18,18,0,18,150,0,0,0
58,8134802,3387517,2,2016,Black,F,31-40,Attempt to Commit Robbery,Violent,,M8,Probation,10,10,0,18,100,0,0,0
59,3686826,1552451,1,2016,White,M,41-50,Destruction of Property $1000 or More,Property,,M8,Incarceration,6,0,6,1,100,0,0,0
60,2860321,6119864,1,2016,Other or Unknown,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M5,Short Split,96,96,1,60,100,0,0,0
61,2860321,6119864,2,2016,Other or Unknown,M,18-21,Assault W/I to Kill,Violent,,M5,Short Split,96,96,1,60,100,0,0,0
62,2860321,6119864,3,2016,Other or Unknown,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Short Split,96,96,1,60,100,0,0,0
63,8002695,3144336,1,2016,Black,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M5,Short Split,96,96,1,60,100,0,0,0
64,8002695,3144336,2,2016,Black,M,18-21,Assault W/I to Kill,Violent,,M5,Short Split,96,96,1,60,100,0,0,0
65,8002695,3144336,3,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Short Split,96,96,1,60,100,0,0,0
66,24725,874404,1,2016,Black,M,18-21,Burglary One,Property,,M5,Incarceration,108,0,108,0,100,0,0,0
67,24725,874404,2,2016,Black,M,18-21,Theft First Degree,Property,,M8,Incarceration,32,0,32,0,100,0,0,0
68,24725,874404,5,2016,Black,M,18-21,Burglary One,Property,,M3,Incarceration,138,0,138,0,100,0,0,0
69,24725,874404,6,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
70,24725,874404,7,2016,Black,M,18-21,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,48,0,48,0,100,0,0,0
71,24725,874404,8,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,72,0,72,0,100,0,0,0
72,24725,874404,9,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
73,24725,874404,10,2016,Black,M,18-21,Assault w/Intent to Commit First Degree Sexual Abuse (Force),Violent,,M5,Incarceration,162,0,162,0,100,0,0,0
74,24725,874404,11,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
75,24725,874404,12,2016,Black,M,18-21,Third Degree Sex Abuse- Force,Sex,,M5,Incarceration,108,0,108,0,100,0,0,0
76,24725,874404,13,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
77,24725,874404,14,2016,Black,M,18-21,Third Degree Sex Abuse- Force,Sex,,M5,Incarceration,108,0,108,0,100,0,0,0
78,24725,874404,15,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
79,24725,874404,16,2016,Black,M,18-21,Third Degree Sex Abuse- Force,Sex,,M5,Incarceration,108,0,108,0,100,0,0,0
80,24725,874404,17,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
81,24725,874404,18,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,72,0,72,0,100,0,0,0
82,24725,874404,19,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
83,24725,874404,20,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,72,0,72,0,100,0,0,0
84,24725,874404,21,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,108,0,108,0,100,0,0,0
85,24725,874404,22,2016,Black,M,18-21,Theft First Degree,Property,,M8,Incarceration,32,0,32,0,100,0,0,0
86,496976,124337,1,2016,Black,M,18-21,Burglary One,Property,,M5,Incarceration,24,0,24,0,100,0,0,0
87,4065772,1702364,1,2016,Black,M,22-30,Carry Pistol Outside Home/Business,Weapon,,M8,Incarceration,14,0,14,0,100,0,0,0
88,4065772,1702364,2,2016,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
89,6289661,1112932,1,2016,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
90,8317606,1619642,1,2016,Other or Unknown,M,41-50,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
91,8317606,1619642,2,2016,Other or Unknown,M,41-50,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
92,8317606,1619642,3,2016,Other or Unknown,M,41-50,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
93,8317606,1619642,4,2016,Other or Unknown,M,41-50,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
94,8317606,1619642,5,2016,Other or Unknown,M,41-50,Robbery,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
95,9567357,3886789,1,2016,Black,M,41-50,Burglary Two,Property,,M8,Incarceration,18,0,18,0,100,0,0,0
96,9567357,3886789,2,2016,Black,M,41-50,Theft First Degree,Property,,M8,Incarceration,18,0,18,0,100,0,0,0
97,6577322,1381737,1,2016,Black,M,18-21,Robbery,Violent,,M6,Short Split,24,24,1,24,100,0,0,0
98,1071026,1611859,1,2016,Black,M,22-30,Robbery,Violent,,M6,Short Split,24,24,1,24,100,0,0,0
99,1979178,8838755,1,2016,Black,M,22-30,Robbery,Violent,,M6,Short Split,24,24,1,24,100,0,0,0
100,917373,9974108,1,2016,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
101,5250485,1544312,1,2016,Black,M,22-30,Murder I,Homicide,Murder I,M1,Indeterminate/Incarceration,,,,,100,0,0,0
102,5501696,679999,1,2016,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,0,0,0
103,5501696,679999,2,2016,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,0,0,0
104,2461737,6688220,1,2016,Black,F,22-30,Robbery,Violent,,M8,Long Split,24,12,12,12,100,0,0,0
105,7238709,4104918,1,2016,Black,M,22-30,Robbery,Violent,,M5,Short Split,48,48,1,12,100,0,0,0
106,4465999,2275215,4,2016,Black,M,22-30,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0
107,4465999,2275215,5,2016,Black,M,22-30,Carrying Dangerous Weapon (Outside Home or Place of Business) 2015,Weapon,,M8,Incarceration,14,0,14,0,100,0,0,0
108,8277063,8034946,3,2016,Black,M,31-40,Aggravated Assault Knowingly,Violent,,M6,Incarceration,66,0,66,0,100,0,0,0
109,6531658,1248347,1,2016,Black,F,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,12,12,0,18,150,0,0,0
110,1937042,6177385,2,2016,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,18,0,18,0,100,0,250,0
111,5807360,4971473,1,2016,Black,F,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,18,12,6,12,100,0,0,0
112,5807360,4971473,2,2016,Black,F,18-21,Bail Reform Act -Felony,Other,,M9,Probation,12,12,0,6,100,0,0,0
113,6205669,9828639,1,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,48,0,48,0,100,0,0,0
114,6800641,40233,2,2016,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,30,0,30,0,100,0,0,0
115,6800641,40233,4,2016,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,30,0,30,0,100,0,0,0
116,6800641,40233,27,2016,Black,M,18-21,Flee Law Enforcement Officer,Other,,M8,Incarceration,30,0,30,0,100,0,0,0
117,6800641,40233,28,2016,Black,M,18-21,Destruction of Property $1000 or More,Property,,M8,Incarceration,30,0,30,0,100,0,0,0
118,7719052,1922856,2,2016,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,15,0,15,0,100,0,0,0
119,7719052,1922856,4,2016,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,15,0,15,0,100,0,0,0
120,7719052,1922856,27,2016,Black,M,18-21,Flee Law Enforcement Officer,Other,,M8,Incarceration,15,0,15,0,100,0,0,0
