charge_code,dmpsj_category
14TUSC00295,Assault
18SUSC2903.22,Assault
18USC00113a1,Assault
18USC00113a3,Assault
18USC00113a6,Assault
18USC00844e,Assault
18USC00871,Assault
18USC00879a2,Assault
22DC1309,Assault
22DC1810,Assault
22DC401,Assault
22DC401-U,Assault
22DC401-W,Assault
22DC401-X,Assault
22DC402-X,Assault
22DC402-Y,Assault
22DC403,Assault
22DC404(A)(2),Assault
22DC404.01A1,Assault
22DC404.01A1[2],Assault
22DC404.01A2,Assault
22DC404A,Assault
22DC406-X,Assault
22DC406-Y,Assault
22DC407,Assault
22DC502 (2000 ED),Assault
22DC851(B),Assault
22DC932,Assault
22DC933(1),Assault
22DC936A,Assault
22DUSC00401,Assault
22DUSC00402,Assault
22DUSC00403,Assault
22DUSC00404.01,Assault
22DUSC01810,Assault
36RUSC2.32a1,Assault
37SUSC707-717,Assault
ACT16-445SEC 207,Assault
ACT16490SEC207,Assault
18USC111,Assault on a police officer
22DC405B,Assault on a police officer
22DC405C,Assault on a police officer
ACT16-445SEC208M,Assault on a police officer
18SUSC2232.1,Burglary
18SUSC2232.3,Burglary
22DC801,Burglary
22DC801A,Burglary
22DC801B,Burglary
18USC00286,Conspiracy
22DC1805A,Conspiracy
22DC1805A X,Conspiracy
22DC1805A(A)(1),Conspiracy
22DC1805A(A)(2),Conspiracy
22DUSC01805a,Conspiracy
48DC904.09X,Conspiracy
11DC944,Contempt
11DC944A,Contempt
22DC2603,Contraband in jail
22DC2603.02(A),Contraband in jail
22DC2603.02(B),Contraband in jail
22DC2631(2)(A)(V)(VI,Contraband in jail
22DC1001,Cruelty to animals
22DC1001(D),Cruelty to animals
22DC1006.01,Cruelty to animals
22DC1012,Cruelty to animals
22DC1015(A)(3),Cruelty to animals
22DC1101,Cruelty to children
22DC1101A1-X,Cruelty to children
22DC1101A1-Y,Cruelty to children
22DC1101B,Cruelty to children
22DC1101B1,Cruelty to children
22DC1101B2,Cruelty to children
22DC1312A,Disorderly conduct
22DC1312E,Disorderly conduct
22DC1321(A)(1),Disorderly conduct
22DC1321(A)(3),Disorderly conduct
22DC1321(C),Disorderly conduct
22DC1321(E),Disorderly conduct
22DC1321[1],Disorderly conduct
22DC1321[1]-Y,Disorderly conduct
22DC1321C,Disorderly conduct
22DC1321F,Disorderly conduct
22DC1321I,Disorderly conduct
22DC2201(B)(1),Disorderly conduct
25DC1001C,Disorderly conduct
16DC1004,Domestic violence
16DC1005F,Domestic violence
16DC1005G-X,Domestic violence
16DC1005G-Y,Domestic violence
"16DC1022A,1024B2",Domestic violence
16DC1022A-1,Domestic violence
"16DC1022B,1024A",Domestic violence
16DC1022B1-2,Domestic violence
18USC01203,Domestic violence
22DC1931,Domestic violence
22DC2001,Domestic violence
22DC2101 (2000 ED.),Domestic violence
ACT16-445SEC107,Domestic violence
21USC00841a1,Drugs
21USC00841b1Aviii,Drugs
21USC00841b1Bii,Drugs
21USC00843a6,Drugs
21USC00844a,Drugs
21USC00863,Drugs
21USC00952,Drugs
21USC00952a,Drugs
21USC00959a,Drugs
48DC1103A-X,Drugs
48DC1103A-Y,Drugs
48DC1103B-X,Drugs
48DC1103B-Y,Drugs
48DC904.01(A)(1)-Z,Drugs
48DC904.01(D)(2),Drugs
48DC904.01A1A2B-V,Drugs
48DC904.01A1A2B-W,Drugs
48DC904.01A1A2B-X,Drugs
48DC904.01A1A2B-Y,Drugs
48DC904.01A1-M,Drugs
48DC904.01A1-W,Drugs
48DC904.01A1-X,Drugs
48DC904.01A1-Y,Drugs
48DC904.01D,Drugs
48DC904.01D(F),Drugs
48DC904.02A(5),Drugs
48DC904.02A5-X,Drugs
48DC904.02A5-Y,Drugs
48DC904.02A5-Z,Drugs
48DC904.03A,Drugs
48DC904.03A3,Drugs
48DC904.10,Drugs
48DC911.01(A),Drugs
1DC1001.14(A),Elections violation
1DC1001.14(A-1)(1)(B,Elections violation
"1DC1102.03,1107.01A",Elections violation
1DC1163.33(E),Elections violation
13DC1327,Failure to appear
